,non_dc_emdr7197.mrc,non_dc_emdr4275.mrc,non_dc_emdr16663.mrc,non_dc_emdr15807.mrc,non_dc_emdr13325.mrc,non_dc_emdr4002.mrc,non_dc_emdr3396.mrc,non_dc_emdr14098.mrc,non_dc_emdr16074.mrc,non_dc_emdr13854.mrc,non_dc_emdr6227.mrc,non_dc_emdr6522.mrc
dc_emdr13.mrc,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,3.22%,0.00%,0.00%,0.00%,0.00%,0.00%
dc_emdr3.mrc,0.00%,0.00%,0.00%,0.00%,0.00%,87.51%,1.86%,0.00%,0.00%,100.00%,1.86%,0.00%
dc_emdr2.mrc,2.05%,1.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,85.94%
dc_emdr12.mrc,3.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
dc_emdr0.mrc,0.08%,96.30%,0.00%,0.00%,0.00%,0.03%,8.19%,100.00%,0.00%,0.00%,0.00%,6.77%
dc_emdr1.mrc,8.85%,0.19%,0.00%,100.00%,0.00%,6.02%,0.50%,0.00%,0.00%,0.00%,96.54%,0.11%
dc_emdr5.mrc,85.56%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.15%,4.09%
dc_emdr4.mrc,0.00%,1.18%,0.00%,0.00%,100.00%,3.59%,86.18%,0.00%,0.00%,0.00%,0.00%,0.00%
dc_emdr16.mrc,0.00%,0.19%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.09%
dc_emdr17.mrc,0.00%,0.00%,0.00%,0.00%,0.00%,2.80%,0.00%,0.00%,0.00%,0.00%,0.44%,0.00%
dc_emdr25.mrc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%
dc_emdr24.mrc,0.00%,0.72%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%