,Name,region number in divide,local_merge,global_merge,,,,,,,
0,mrcfiles/emd0414.mrc,12-Dec,42.614384,691.762193,,,,,,,
,,,47.351633,509.732533,,,,,,,
,,,25.419267,456.916446,,,,,,,
,,,read data,sorted,get_region,smooth0,smooth1,density updated,region sort,merge,
,,,3.90729,11.048328,180.714513,0.064541,0.047584,0.007713,0.006165,123.930171,319.726305
,,,5.390792,10.944292,151.554564,0.055517,0.047248,0.006886,0.004617,114.896972,282.900888
,,,3.140058,8.314726,130.122997,0.034856,0.033977,0.005382,0.003816,73.495305,215.151117
,,,,,,,,,,,
,,,23.139587,1428.331279,,,,,,,
,,,22.988757,1463.741066,,,,,,,